person1_id,person2_id,interaction_type,infection_probability
46969,18490,shared_space,0.12
34377,9556,close_contact,0.15
11260,29592,shared_space,0.1
28670,36594,close_contact,0.15
15668,9627,close_contact,0.23
16906,31140,shared_space,0.23
11477,44803,shared_space,0.15
8543,47075,close_contact,0.21
26935,2220,close_contact,0.14
42296,37680,close_contact,0.18
7589,48433,close_contact,0.09
31911,39084,close_contact,0.15
28423,23997,shared_space,0.21
37131,4685,shared_space,0.13
44869,10565,close_contact,0.17
25916,3089,shared_space,0.24
38203,28058,close_contact,0.15
10090,16963,close_contact,0.09
40040,28560,shared_space,0.1
32681,13833,close_contact,0.08
49228,21281,close_contact,0.07
6044,35176,close_contact,0.2
28990,14433,shared_space,0.08
4562,12604,close_contact,0.17
14429,12493,shared_space,0.05
1593,49388,close_contact,0.14
1815,48148,shared_space,0.06
43634,3472,shared_space,0.24
14603,1272,shared_space,0.23
16399,26041,close_contact,0.06
21055,39753,close_contact,0.17
10822,37450,shared_space,0.24
26984,11022,close_contact,0.11
20686,22254,shared_space,0.17
6260,46771,shared_space,0.14
25310,19634,shared_space,0.19
43238,47583,close_contact,0.11
39563,19351,close_contact,0.09
21187,38721,close_contact,0.11
46596,12389,close_contact,0.06
42860,11426,close_contact,0.2
1837,33087,close_contact,0.09
24935,49179,close_contact,0.17
30539,13027,shared_space,0.07
49059,11121,shared_space,0.24
34433,12513,shared_space,0.12
12122,37592,close_contact,0.11
36012,34270,shared_space,0.17
39290,35241,shared_space,0.1
9291,5101,close_contact,0.09
7476,18518,close_contact,0.13
3723,37968,close_contact,0.11
25476,11649,close_contact,0.16
19057,33552,close_contact,0.08
26905,45826,shared_space,0.12
23308,14155,shared_space,0.2
17927,22846,close_contact,0.07
27964,27590,close_contact,0.07
40330,33995,close_contact,0.11
1499,40311,shared_space,0.12
26698,28538,shared_space,0.1
32055,4675,shared_space,0.17
36675,2597,shared_space,0.18
11814,10392,shared_space,0.1
19060,33432,shared_space,0.22
31883,11353,shared_space,0.19
37576,10042,shared_space,0.05
7083,28594,shared_space,0.1
10226,40917,shared_space,0.19
32729,36981,close_contact,0.17
23787,37526,shared_space,0.15
32342,15876,shared_space,0.16
23176,17578,close_contact,0.25
37139,8966,shared_space,0.09
37865,3136,close_contact,0.23
30682,17295,close_contact,0.19
556,42626,close_contact,0.22
24408,28278,shared_space,0.2
20202,1618,close_contact,0.05
48153,21112,shared_space,0.12
34192,39813,shared_space,0.1
33576,33488,close_contact,0.23
36883,33778,close_contact,0.16
20171,14616,shared_space,0.1
28834,46896,shared_space,0.06
11057,7375,shared_space,0.22
8967,49425,shared_space,0.06
8196,1014,close_contact,0.13
33873,32522,shared_space,0.12
26899,37700,shared_space,0.15
33283,18578,close_contact,0.23
37249,27984,shared_space,0.23
26299,45611,shared_space,0.13
17829,26242,close_contact,0.17
25557,22216,shared_space,0.16
39396,11662,shared_space,0.13
48922,21742,close_contact,0.14
32047,10183,close_contact,0.15
34122,29303,shared_space,0.06
12737,2472,close_contact,0.07
38258,38496,close_contact,0.2
30998,17168,close_contact,0.11
26733,39909,close_contact,0.07
33587,27042,shared_space,0.14
19708,31855,close_contact,0.15
20745,19473,close_contact,0.06
11249,39255,close_contact,0.08
44118,29047,shared_space,0.17
11184,27948,close_contact,0.24
20900,36716,shared_space,0.18
12365,14592,close_contact,0.09
18595,45316,close_contact,0.2
15950,6190,close_contact,0.22
41868,12628,shared_space,0.12
25895,33319,shared_space,0.17
8240,6853,shared_space,0.09
43865,33063,shared_space,0.22
40124,14199,shared_space,0.12
39056,49404,close_contact,0.24
38789,13550,shared_space,0.1
31326,5146,close_contact,0.14
41850,23808,shared_space,0.11
43992,11239,shared_space,0.13
41063,38341,close_contact,0.16
40717,31764,shared_space,0.18
9036,23623,shared_space,0.09
30054,33120,shared_space,0.17
22120,43576,close_contact,0.15
23976,10129,close_contact,0.19
48165,14365,close_contact,0.14
1948,3510,shared_space,0.13
26143,1201,close_contact,0.14
40349,4245,close_contact,0.12
2502,17987,close_contact,0.19
3391,44601,close_contact,0.09
33280,17351,close_contact,0.11
10148,13574,close_contact,0.05
8203,38170,shared_space,0.14
31801,15832,shared_space,0.09
24956,48707,shared_space,0.11
26858,20592,close_contact,0.11
24328,11938,close_contact,0.14
33374,9322,shared_space,0.05
26949,43454,close_contact,0.13
9042,15886,shared_space,0.2
1215,24183,close_contact,0.17
5775,44689,shared_space,0.09
49679,10613,close_contact,0.09
6645,41369,close_contact,0.25
1221,35690,shared_space,0.16
37314,46602,shared_space,0.25
1324,16257,close_contact,0.14
12541,48992,shared_space,0.25
30779,8109,close_contact,0.06
2402,8087,close_contact,0.17
41820,41538,shared_space,0.11
39936,42976,shared_space,0.06
48449,15152,shared_space,0.16
10135,17198,shared_space,0.09
14312,48662,close_contact,0.23
31487,18395,shared_space,0.17
35533,18194,shared_space,0.18
4633,32676,close_contact,0.12
2876,32044,shared_space,0.06
45732,3931,shared_space,0.21
41692,11746,shared_space,0.15
37968,36733,shared_space,0.12
13797,32391,close_contact,0.22
47143,31474,shared_space,0.22
13947,26165,shared_space,0.05
1729,23791,shared_space,0.22
18474,17572,close_contact,0.09
47851,31636,close_contact,0.22
13741,29788,close_contact,0.13
35249,3286,close_contact,0.18
3051,37717,close_contact,0.2
20489,41565,close_contact,0.19
15963,16581,close_contact,0.17
24725,48335,close_contact,0.1
10868,19961,close_contact,0.19
41538,16494,shared_space,0.15
12923,30650,close_contact,0.06
41978,21356,shared_space,0.15
7079,41094,shared_space,0.14
5465,41913,shared_space,0.21
35163,19586,close_contact,0.07
47382,34206,close_contact,0.08
1474,26355,close_contact,0.18
33629,22089,shared_space,0.13
49331,6599,close_contact,0.06
31475,33998,shared_space,0.17
5096,1605,close_contact,0.06
23002,38487,shared_space,0.08
14120,42004,close_contact,0.1
30524,5641,shared_space,0.06
33390,43473,close_contact,0.14
44356,39157,shared_space,0.13
30753,11383,close_contact,0.24
8315,7450,close_contact,0.15
46238,43594,close_contact,0.22
37337,11328,close_contact,0.16
38891,22426,close_contact,0.12
40000,44323,shared_space,0.24
39833,40780,shared_space,0.16
26021,30463,shared_space,0.12
27260,38619,close_contact,0.22
35634,21270,close_contact,0.09
49644,29816,shared_space,0.15
6974,44201,close_contact,0.09
14840,13950,shared_space,0.16
32916,49986,shared_space,0.09
14452,9919,shared_space,0.2
19632,31583,shared_space,0.09
33588,19045,shared_space,0.24
13049,25282,shared_space,0.25
17064,15525,close_contact,0.15
21377,37120,shared_space,0.16
46833,44488,shared_space,0.07
12493,8366,shared_space,0.2
30174,4498,close_contact,0.18
6871,38740,shared_space,0.14
31916,25205,shared_space,0.2
47343,32501,shared_space,0.22
1971,44774,shared_space,0.14
22291,23042,close_contact,0.23
48966,16431,close_contact,0.24
42237,41259,close_contact,0.17
20226,39583,close_contact,0.11
23109,21810,close_contact,0.14
38842,46073,shared_space,0.21
34274,3539,close_contact,0.1
45061,11119,shared_space,0.15
26272,43506,close_contact,0.17
46862,49320,close_contact,0.18
4098,25920,close_contact,0.06
24850,28185,shared_space,0.24
3493,34804,close_contact,0.1
9944,9503,shared_space,0.15
30706,48216,close_contact,0.11
18034,47091,shared_space,0.14
49950,31233,shared_space,0.1
6013,17399,close_contact,0.05
3082,49074,close_contact,0.14
27543,39606,close_contact,0.18
20591,6546,close_contact,0.22
46355,4164,close_contact,0.21
32841,33942,close_contact,0.14
33531,26212,close_contact,0.19
35171,42486,close_contact,0.19
2983,19804,shared_space,0.19
29619,21170,shared_space,0.11
18698,40052,close_contact,0.23
7397,43212,close_contact,0.16
1948,48662,close_contact,0.06
26197,3424,shared_space,0.19
24131,13101,close_contact,0.06
27707,4306,shared_space,0.22
35363,19314,close_contact,0.07
33893,17302,close_contact,0.14
13445,42723,close_contact,0.19
27663,16607,shared_space,0.09
28942,6727,close_contact,0.19
49963,12650,close_contact,0.22
28099,199,close_contact,0.18
19824,3464,shared_space,0.13
17826,32667,shared_space,0.25
40445,18307,shared_space,0.22
6883,32291,shared_space,0.15
39470,15439,shared_space,0.11
15030,45150,shared_space,0.23
18332,36142,close_contact,0.17
19308,45135,close_contact,0.09
1947,18390,close_contact,0.08
8107,26274,close_contact,0.21
34349,41280,shared_space,0.23
8294,32545,shared_space,0.22
6551,3485,close_contact,0.19
12437,37766,close_contact,0.22
28157,35325,shared_space,0.25
35501,19015,shared_space,0.22
44138,11813,close_contact,0.11
25823,804,shared_space,0.21
17700,41039,close_contact,0.2
18953,28349,close_contact,0.08
42797,32981,close_contact,0.05
10549,42298,close_contact,0.1
5752,8125,close_contact,0.2
36810,43992,close_contact,0.11
23372,37181,close_contact,0.13
17546,34435,shared_space,0.24
7156,24534,shared_space,0.13
4241,45512,close_contact,0.17
40968,4623,shared_space,0.17
49456,12842,close_contact,0.2
6391,34563,shared_space,0.15
33143,21175,shared_space,0.08
40283,45520,close_contact,0.21
34652,22348,close_contact,0.08
25481,34994,shared_space,0.12
45927,32068,shared_space,0.23
35385,41984,close_contact,0.13
24213,13442,shared_space,0.13
26076,48195,shared_space,0.19
34156,31551,close_contact,0.09
34433,45319,shared_space,0.1
49949,21632,close_contact,0.16
43412,40474,close_contact,0.08
8551,11852,close_contact,0.15
42795,24967,close_contact,0.17
3067,43399,shared_space,0.24
9068,18670,shared_space,0.23
28602,6779,shared_space,0.14
38419,15124,shared_space,0.17
27653,2563,close_contact,0.11
22777,6132,close_contact,0.24
17961,5882,close_contact,0.23
31784,25352,close_contact,0.17
17843,25503,close_contact,0.13
23589,30866,shared_space,0.23
48442,4274,close_contact,0.25
8989,22056,close_contact,0.08
25542,12816,shared_space,0.06
18969,13052,close_contact,0.1
22248,49149,close_contact,0.2
12295,9486,shared_space,0.17
986,33585,close_contact,0.07
46868,14249,close_contact,0.08
9128,25235,shared_space,0.14
11781,45384,close_contact,0.15
6735,11471,shared_space,0.08
38055,20036,close_contact,0.1
26247,11343,close_contact,0.07
7856,145,shared_space,0.21
40066,34514,close_contact,0.17
34703,6577,shared_space,0.18
39309,47494,close_contact,0.06
22920,20187,close_contact,0.08
22898,13362,shared_space,0.12
37658,29414,shared_space,0.17
15156,15124,close_contact,0.21
13248,27806,shared_space,0.22
34377,11215,close_contact,0.07
35658,11778,shared_space,0.11
39308,42836,close_contact,0.14
43748,48175,shared_space,0.12
27904,3989,shared_space,0.2
40315,42002,shared_space,0.13
11215,36435,shared_space,0.08
39011,36476,shared_space,0.08
35785,20175,shared_space,0.09
16907,27935,shared_space,0.16
3898,32064,shared_space,0.13
15220,12214,close_contact,0.18
1504,45574,shared_space,0.09
19367,36218,shared_space,0.2
36847,388,close_contact,0.11
34178,39130,shared_space,0.17
14882,43856,close_contact,0.13
12561,26367,close_contact,0.18
31892,28751,shared_space,0.07
9481,2377,shared_space,0.19
16137,4861,shared_space,0.18
2551,9588,shared_space,0.24
32513,21156,close_contact,0.18
7557,38589,shared_space,0.06
47720,35871,close_contact,0.16
16201,10551,shared_space,0.21
1424,38189,close_contact,0.12
1742,9015,shared_space,0.22
33194,43303,shared_space,0.17
26035,3259,shared_space,0.22
30687,13970,close_contact,0.12
44147,10551,shared_space,0.15
40623,796,shared_space,0.19
32648,6007,shared_space,0.21
4208,20866,close_contact,0.16
25257,29522,shared_space,0.22
34256,49517,close_contact,0.15
34661,35582,close_contact,0.12
31914,23723,close_contact,0.1
23112,43536,shared_space,0.24
35107,40266,shared_space,0.09
12985,39447,close_contact,0.13
42038,23648,close_contact,0.16
6846,17433,close_contact,0.24
47114,4063,shared_space,0.22
35229,24944,close_contact,0.07
48590,38136,close_contact,0.23
33804,14844,close_contact,0.2
16816,39984,close_contact,0.09
41028,31134,shared_space,0.23
25820,24012,shared_space,0.08
33443,14348,shared_space,0.23
42432,24661,close_contact,0.12
3764,8252,close_contact,0.23
6379,46535,shared_space,0.17
40091,18245,shared_space,0.12
40997,34982,shared_space,0.23
30939,19923,close_contact,0.24
17060,42085,shared_space,0.1
40985,33771,shared_space,0.14
19846,613,shared_space,0.15
35782,38524,shared_space,0.06
10000,32092,shared_space,0.22
685,42004,shared_space,0.13
31949,28332,shared_space,0.18
24842,9736,shared_space,0.12
6203,8782,shared_space,0.14
7303,47704,close_contact,0.12
48180,3305,shared_space,0.17
33561,30275,shared_space,0.25
26447,26497,close_contact,0.24
35744,23282,shared_space,0.15
34426,29318,shared_space,0.07
28800,482,shared_space,0.12
47449,49136,shared_space,0.15
9888,1636,close_contact,0.18
43479,21297,shared_space,0.14
41209,12352,close_contact,0.23
829,25785,shared_space,0.14
43127,34112,shared_space,0.07
40635,17421,close_contact,0.25
21894,25686,close_contact,0.21
883,42079,close_contact,0.23
33419,16235,shared_space,0.12
9021,20856,close_contact,0.1
43963,7394,close_contact,0.24
31383,16241,shared_space,0.1
30131,36786,close_contact,0.12
36885,44838,close_contact,0.2
1750,39331,close_contact,0.16
32038,21048,shared_space,0.24
26088,43823,close_contact,0.05
14162,8477,close_contact,0.23
47251,41763,close_contact,0.12
28154,17962,close_contact,0.15
16412,21754,close_contact,0.22
37590,32896,close_contact,0.09
23909,7794,shared_space,0.19
45952,40775,close_contact,0.24
13155,19325,shared_space,0.17
46178,23731,close_contact,0.24
31624,40387,close_contact,0.24
25037,26084,close_contact,0.13
38252,25248,close_contact,0.21
39066,40433,close_contact,0.1
25206,33046,shared_space,0.09
18120,10234,close_contact,0.06
15836,41421,shared_space,0.13
9011,43618,close_contact,0.08
28149,28295,close_contact,0.12
32274,24345,close_contact,0.24
33391,10784,shared_space,0.11
22614,27549,close_contact,0.16
38067,2260,close_contact,0.25
40185,36913,close_contact,0.21
41562,46117,shared_space,0.17
25872,17940,close_contact,0.18
21224,26336,close_contact,0.09
25595,30963,shared_space,0.05
36127,12967,shared_space,0.23
16242,36447,close_contact,0.11
40231,42259,shared_space,0.19
31059,6431,shared_space,0.08
27075,17413,close_contact,0.06
19248,42792,shared_space,0.11
44868,28836,close_contact,0.16
7010,33677,shared_space,0.21
15440,8836,close_contact,0.14
32711,6061,shared_space,0.19
32919,39373,close_contact,0.19
46107,24339,shared_space,0.2
37147,39238,shared_space,0.17
39212,49823,close_contact,0.18
2768,18958,close_contact,0.08
12519,16027,shared_space,0.15
6997,10409,close_contact,0.13
39317,13,close_contact,0.16
32345,2878,shared_space,0.17
17492,49860,close_contact,0.17
14428,37873,close_contact,0.06
17503,48676,shared_space,0.14
27110,3540,close_contact,0.1
40168,18783,shared_space,0.06
5653,7922,close_contact,0.1
48063,1453,close_contact,0.07
25337,33184,close_contact,0.22
44680,40731,shared_space,0.23
45841,22602,shared_space,0.07
1897,22731,close_contact,0.06
1462,9647,close_contact,0.12
3879,4602,shared_space,0.15
23761,5735,shared_space,0.07
13010,49270,close_contact,0.07
21988,8404,close_contact,0.06
37890,17406,shared_space,0.15
40447,19966,shared_space,0.13
14087,28182,shared_space,0.16
38226,33715,shared_space,0.2
34121,48601,shared_space,0.14
16630,5604,shared_space,0.23
34168,40362,shared_space,0.23
17078,3686,shared_space,0.12
27056,9825,shared_space,0.07
45689,36690,close_contact,0.07
36337,19531,close_contact,0.14
19218,2959,close_contact,0.16
22833,23849,shared_space,0.11
31162,27328,shared_space,0.16
48509,20213,close_contact,0.18
1658,22004,shared_space,0.17
25222,20281,close_contact,0.13
21186,47176,shared_space,0.09
14882,33230,shared_space,0.06
8405,48762,shared_space,0.09
25313,7984,close_contact,0.07
20943,40906,close_contact,0.18
4068,33891,shared_space,0.18
49297,46489,shared_space,0.17
3904,45125,close_contact,0.19
2068,29540,close_contact,0.11
28735,47406,shared_space,0.19
39865,43410,close_contact,0.24
46400,37695,shared_space,0.18
22608,12511,close_contact,0.21
15051,43237,close_contact,0.25
45426,40985,close_contact,0.13
22902,4563,shared_space,0.1
42197,21076,shared_space,0.08
49121,12349,close_contact,0.11
33766,27641,close_contact,0.11
23545,43019,shared_space,0.16
30239,42295,close_contact,0.21
4113,11294,close_contact,0.16
47994,2484,close_contact,0.16
27726,39742,shared_space,0.14
36577,39839,shared_space,0.11
31265,27283,close_contact,0.07
2746,18865,shared_space,0.22
31274,26182,close_contact,0.08
5681,49025,close_contact,0.19
6924,26315,shared_space,0.05
49305,18803,shared_space,0.09
31632,4825,shared_space,0.24
34842,20979,shared_space,0.14
6373,23789,close_contact,0.09
20246,30897,shared_space,0.13
5261,10555,close_contact,0.25
4863,11159,close_contact,0.16
15812,47555,close_contact,0.17
4772,33597,shared_space,0.23
32293,24029,close_contact,0.2
33472,15732,shared_space,0.09
46824,16432,shared_space,0.05
38532,30744,shared_space,0.09
21567,42908,shared_space,0.19
19262,41628,close_contact,0.15
5866,26016,shared_space,0.18
29543,23317,shared_space,0.25
22425,28433,shared_space,0.23
9847,3774,close_contact,0.24
40838,19037,shared_space,0.21
19539,29015,close_contact,0.21
36878,22434,shared_space,0.1
42852,15842,close_contact,0.18
27476,48231,close_contact,0.15
15077,19518,shared_space,0.08
13334,41309,close_contact,0.1
26259,38019,close_contact,0.23
942,15300,close_contact,0.17
39473,31303,close_contact,0.09
27628,36736,close_contact,0.2
13291,36611,shared_space,0.14
46873,5695,close_contact,0.15
41757,2670,close_contact,0.17
34337,645,close_contact,0.11
45445,33382,shared_space,0.14
16011,38916,close_contact,0.09
5189,16930,close_contact,0.2
29113,33468,shared_space,0.21
42190,29109,shared_space,0.24
39245,791,close_contact,0.24
1140,43837,close_contact,0.16
46065,49257,shared_space,0.17
30900,803,close_contact,0.19
24112,41221,shared_space,0.08
36742,18868,close_contact,0.06
43879,13085,close_contact,0.14
5024,1405,shared_space,0.13
46064,25488,close_contact,0.18
47505,4678,close_contact,0.07
42652,18002,shared_space,0.1
5228,36423,close_contact,0.18
42019,44191,close_contact,0.19
15427,22445,shared_space,0.13
23744,29966,close_contact,0.25
40659,13943,close_contact,0.18
22729,19288,close_contact,0.06
40676,43303,close_contact,0.19
8713,13589,shared_space,0.14
38991,21014,shared_space,0.19
49015,300,shared_space,0.14
9780,24080,close_contact,0.15
13636,23835,shared_space,0.17
41814,42591,shared_space,0.14
18370,25570,close_contact,0.15
46129,45483,close_contact,0.23
3228,33100,close_contact,0.11
14198,15753,shared_space,0.19
34059,9968,close_contact,0.13
18867,22567,close_contact,0.15
16159,1895,shared_space,0.17
44690,40749,close_contact,0.2
7961,34970,close_contact,0.16
25632,23728,shared_space,0.17
24172,34440,close_contact,0.12
942,28103,shared_space,0.15
15180,19603,shared_space,0.09
32029,35162,close_contact,0.06
43682,36363,close_contact,0.09
22471,6029,close_contact,0.2
14783,33309,close_contact,0.19
30633,1127,shared_space,0.22
36237,1752,shared_space,0.13
33837,10720,close_contact,0.22
47396,38301,shared_space,0.19
5084,19566,close_contact,0.24
45987,41608,close_contact,0.14
26768,23099,close_contact,0.09
41962,29187,close_contact,0.13
22709,46900,close_contact,0.09
36731,27327,close_contact,0.1
5207,47515,shared_space,0.24
22894,259,shared_space,0.22
48453,9776,shared_space,0.25
27416,21563,close_contact,0.07
21120,44683,close_contact,0.24
47861,46819,close_contact,0.19
30213,36176,close_contact,0.22
9879,9292,close_contact,0.18
28541,49825,shared_space,0.12
1633,8666,shared_space,0.24
16755,27477,shared_space,0.14
25918,40600,shared_space,0.08
25090,2415,shared_space,0.06
6771,7360,close_contact,0.19
1724,40938,close_contact,0.22
35750,11706,shared_space,0.08
45144,28901,close_contact,0.15
43817,16931,shared_space,0.22
23084,37091,shared_space,0.1
38608,9073,shared_space,0.11
15967,42290,close_contact,0.22
22646,15399,shared_space,0.11
42758,3706,close_contact,0.21
34074,9464,close_contact,0.05
617,13667,shared_space,0.2
43739,9033,shared_space,0.17
41102,4602,shared_space,0.22
36246,7546,shared_space,0.08
33060,22658,close_contact,0.12
34425,13534,shared_space,0.2
5466,24660,close_contact,0.08
1495,10310,close_contact,0.19
28540,9992,shared_space,0.06
320,12679,close_contact,0.05
4556,48452,close_contact,0.14
15119,34769,shared_space,0.17
3475,19286,close_contact,0.06
188,34147,shared_space,0.15
19532,29063,shared_space,0.09
2898,18084,close_contact,0.16
23244,38277,shared_space,0.12
13015,44252,close_contact,0.22
18681,47354,close_contact,0.09
105,25564,close_contact,0.05
29364,6489,shared_space,0.13
9297,11989,shared_space,0.07
10836,20876,close_contact,0.11
8687,45727,shared_space,0.17
40338,829,shared_space,0.1
30041,38039,shared_space,0.15
29112,15917,shared_space,0.24
22825,39500,shared_space,0.1
16993,25441,shared_space,0.07
32908,13641,close_contact,0.22
48380,30968,shared_space,0.06
10039,46896,close_contact,0.08
12716,32361,shared_space,0.21
9813,5706,shared_space,0.09
14411,28427,shared_space,0.1
46547,20199,shared_space,0.11
10756,45953,close_contact,0.16
49145,1345,close_contact,0.07
779,4503,shared_space,0.08
19677,11382,shared_space,0.07
2425,24013,close_contact,0.07
40699,7902,shared_space,0.12
43131,44029,close_contact,0.23
14166,5724,close_contact,0.18
161,202,shared_space,0.09
9021,26384,shared_space,0.18
38640,36185,close_contact,0.24
48688,1125,shared_space,0.19
29510,9519,shared_space,0.23
13399,5396,shared_space,0.2
48421,12304,close_contact,0.19
15550,41388,close_contact,0.05
48858,1196,close_contact,0.11
27971,38490,close_contact,0.11
41066,11177,close_contact,0.12
26557,19753,shared_space,0.19
21246,42479,close_contact,0.06
13093,23615,close_contact,0.07
28483,955,shared_space,0.11
26578,19736,shared_space,0.11
46273,12002,close_contact,0.22
49729,22178,close_contact,0.15
604,32676,shared_space,0.17
31170,16226,shared_space,0.09
18433,29381,shared_space,0.14
8494,10418,close_contact,0.21
38959,18925,close_contact,0.11
10425,31916,close_contact,0.05
32728,36800,close_contact,0.19
25215,32448,close_contact,0.12
33899,32267,shared_space,0.16
19774,14222,close_contact,0.25
23599,17558,close_contact,0.14
35187,44931,close_contact,0.23
27406,6614,shared_space,0.16
5785,17690,shared_space,0.24
10216,37886,close_contact,0.21
34056,17612,close_contact,0.06
12202,23766,close_contact,0.15
12362,34055,shared_space,0.06
41945,38569,shared_space,0.05
16572,10781,close_contact,0.12
8800,21983,close_contact,0.21
49572,36010,close_contact,0.19
34397,21571,close_contact,0.17
23401,4186,close_contact,0.19
16542,41416,close_contact,0.17
23891,43150,close_contact,0.07
38187,44103,close_contact,0.09
37602,18244,shared_space,0.11
16022,20327,close_contact,0.17
22716,49932,shared_space,0.17
38269,8259,shared_space,0.09
18154,15171,close_contact,0.25
